category,text
瓦斯事故,701回风巷迎头未临时支护，顶板突然垮冒，将正在迎头作业的宋新平砸埋致死。
运输事故,梭车跟车工白亮亮违反《无极绳绞车梭车跟车工操作规程》，在未停车的情况下前往梭车前方，被行驶中的梭车撞击、挤压，是造成这起事故的直接原因。
顶板事故,工作面78#～80#支架处片帮漏顶冒落的大块矸石沿大坡度电缆槽滑下，撞击到采煤机滚筒电机护板飞出，将违规滞留在16#支架前与刮板输送机之间的王彦君砸伤致死。
运输事故,杨喜在掉道矿车与巷帮之间违规[6]使用矿车连接杆进行复轨时矿车侧倾，被挤压胸部致死。
瓦斯事故,41601运输巷事故地点地质构造复杂，该区域煤层具有突出危险，瓦斯抽采措施未达到治理效果，突出危险性验证未真实反映煤层突出危险性，综掘机作业时诱发了煤与瓦斯突出。
机电事故,挖装机司机在挖装机作业点巷道北侧高度不符合挖装机作业条件、且挖装机下部垫有放炮后抛落矸石的情况下，违章操作挖装机进行挖装作业；挖装作业过程中，挖装机机身前端突然向巷道北侧偏移，导致位于操作台的司机的头部被卡在巷道北侧顶板与挖装机回转机架之间受挤压而受伤致死。
瓦斯事故,K7煤层具有突出危险性，超过突出危险性鉴定范围组织生产，未采取任何防突措施，煤体未消突；事故点煤层煤体松软，断层构造应力和采面顶板初次来压应力叠加，采煤机割煤诱发煤与瓦斯突出，造成事故。
瓦斯事故,17301回风巷Ⅰ上山巷采工作面放炮贯通老空区后，老空区内积聚的瓦斯大量涌出至17301回风巷，造成巷道内瓦斯达到爆炸界限，现场作业人员矿灯电缆破损处电线短接产生火花引爆瓦斯，导致事故。
运输事故,推车工处理掉道矿车时受伤，导致肺挫伤、颈部气管损伤、血气胸，造成呼吸衰竭死亡。
瓦斯事故,瓦检员朱益民违章进入2525综放工作面回风巷无风段缺氧窒息是本起事故的直接原因。
顶板事故,程军在31503综采工作面设备运转期间违章进入工作面下安全出口，被工作面煤壁片帮滚落的煤块砸伤致死是本起事故的直接原因
伤亡事故,当班胶带输送机司机裴玲玲在101胶带输送机运行期间违规打开机头护栏清理落煤时，卷入底胶带和托辊之间致死。
顶板事故,李德荣自主保安意识差，冒险蛮干，违章进入采空区藏放工具时被突然垮落的顶板砸压致死。
